epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3282,1.33257,11.2069,0.67844,1.33124,1.63541,0.90624,1,0.99151,0.76959,0,0,0,0,0.97159,10.0705,0.60534,1.0664,1.42242,0.000654321,0.000654321,0.000654321
2,68.5639,0.81328,9.98365,0.61634,0.53772,1.18964,0.99859,1,0.995,0.82883,0,0,0,0,0.69769,9.21561,0.37058,0.59874,1.04936,0.00130791,0.00130791,0.00130791
3,105.126,0.78249,9.43055,0.56114,0.51692,1.1813,0.99949,1,0.995,0.89701,0,0,0,0,0.63275,9.4016,0.30179,0.44542,1.00507,0.0019483,0.0019483,0.0019483
4,142.58,0.70977,8.5507,0.52426,0.472,1.12058,0.99949,1,0.995,0.89614,0,0,0,0,0.53559,8.40082,0.33664,0.35116,0.95049,0.0019406,0.0019406,0.0019406
5,180.946,0.70591,7.66375,0.49311,0.44301,1.1196,0.99942,1,0.995,0.84358,0,0,0,0,0.65683,6.94148,0.36082,0.3182,0.95041,0.0019208,0.0019208,0.0019208
6,219.521,0.62979,6.98269,0.49112,0.42317,1.07745,0.99912,1,0.995,0.86933,0.51822,0.51852,0.43005,0.04409,0.63499,5.13845,0.31874,0.41294,1.09446,0.001901,0.001901,0.001901
7,256.178,0.62316,6.63631,0.47947,0.41088,1.08859,0.99942,1,0.995,0.84794,0.63852,0.63889,0.45643,0.07138,0.56968,4.85192,0.35184,0.41484,0.89642,0.0018812,0.0018812,0.0018812
8,292.141,0.60799,6.02897,0.47272,0.41632,1.07052,0.9995,1,0.995,0.85199,0.43497,0.43519,0.21571,0.03386,0.55847,4.29414,0.36996,0.29462,0.95133,0.0018614,0.0018614,0.0018614
9,327.247,0.59282,5.46461,0.47769,0.39764,1.04477,0.99949,1,0.995,0.8969,0.99949,1,0.995,0.35013,0.51187,3.02222,0.36741,0.27433,0.90682,0.0018416,0.0018416,0.0018416
10,362.449,0.56534,4.94883,0.47003,0.39524,1.05261,0.99948,1,0.995,0.89276,0.79588,0.7963,0.7297,0.30219,0.58718,3.1091,0.40187,0.36164,0.90536,0.0018218,0.0018218,0.0018218
11,397.788,0.51649,4.55248,0.45377,0.36194,1.02488,0.99948,1,0.995,0.88032,0.99948,1,0.995,0.4904,0.49736,2.16905,0.40392,0.3104,0.85913,0.001802,0.001802,0.001802
12,432.056,0.49791,4.27851,0.45304,0.35086,1.00915,0.99944,1,0.995,0.91158,0.99944,1,0.995,0.45009,0.34456,2.07532,0.35935,0.24786,0.74405,0.0017822,0.0017822,0.0017822
13,467.023,0.5057,3.73021,0.45613,0.3456,1.00798,0.99947,1,0.995,0.89283,0.99947,1,0.995,0.67402,0.62831,1.35108,0.34273,0.38909,0.92702,0.0017624,0.0017624,0.0017624
14,502.249,0.51776,3.33046,0.45477,0.35694,1.02705,0.99947,1,0.995,0.89684,0.99947,1,0.995,0.4563,0.54717,2.30987,0.36013,0.31277,0.93723,0.0017426,0.0017426,0.0017426
15,537.489,0.50439,3.66099,0.43725,0.35223,1.00545,0.9995,1,0.995,0.90778,0.9995,1,0.995,0.41289,0.45669,2.42931,0.39906,0.27455,0.78888,0.0017228,0.0017228,0.0017228
16,572.417,0.47289,3.19646,0.42538,0.34065,0.99973,1,1,0.995,0.90282,1,1,0.995,0.51821,0.48297,1.72429,0.34151,0.23611,0.83438,0.001703,0.001703,0.001703
17,607.336,0.44311,2.99671,0.43393,0.31562,0.98265,0.9995,1,0.995,0.90325,0.9995,1,0.995,0.54111,0.37078,1.87863,0.33472,0.23212,0.76656,0.0016832,0.0016832,0.0016832
18,642.587,0.45002,2.85837,0.4376,0.32198,0.9844,0.99949,1,0.995,0.89301,0.99949,1,0.995,0.74366,0.53995,1.14591,0.36978,0.25321,0.82671,0.0016634,0.0016634,0.0016634
19,677.786,0.42376,2.48406,0.42916,0.30289,0.9664,0.99948,1,0.995,0.97991,0.99948,1,0.995,0.85625,0.31368,0.80926,0.38023,0.20552,0.73277,0.0016436,0.0016436,0.0016436
20,713.119,0.46033,2.49213,0.43054,0.30818,0.98073,0.9995,1,0.995,0.81726,0.9995,1,0.995,0.85161,0.80453,0.67272,0.35404,0.29234,1.05023,0.0016238,0.0016238,0.0016238
21,750.27,0.49051,2.26701,0.41814,0.32552,0.99075,0.99945,1,0.995,0.93863,0.99945,1,0.995,0.8997,0.35921,0.52455,0.36201,0.25086,0.75089,0.001604,0.001604,0.001604
22,784.61,0.44611,2.32242,0.4109,0.30987,0.97695,0.99947,1,0.995,0.97922,0.99947,1,0.995,0.7969,0.28529,0.83899,0.3774,0.2053,0.71164,0.0015842,0.0015842,0.0015842
23,818.005,0.43447,2.15216,0.40087,0.30843,0.97745,0.99949,1,0.995,0.91547,0.99949,1,0.995,0.8267,0.4565,0.8774,0.38358,0.23995,0.78987,0.0015644,0.0015644,0.0015644
24,851.32,0.4236,1.95048,0.39829,0.30123,0.96428,0.9995,1,0.995,0.90993,0.9995,1,0.995,0.91461,0.42585,0.55267,0.35145,0.27453,0.7839,0.0015446,0.0015446,0.0015446
25,884.522,0.43071,1.96686,0.3922,0.31,0.97691,0.99948,1,0.995,0.92553,0.99948,1,0.995,0.84448,0.50028,0.73857,0.34733,0.26229,0.84241,0.0015248,0.0015248,0.0015248
26,917.974,0.41234,1.97028,0.38658,0.30363,0.96833,0.99948,1,0.995,0.98989,0.99948,1,0.995,0.7439,0.25349,0.8543,0.35576,0.2117,0.70288,0.001505,0.001505,0.001505
27,950.768,0.40773,1.89846,0.38594,0.2985,0.9583,0.99949,1,0.995,0.96307,0.99949,1,0.995,0.91839,0.371,0.41432,0.36104,0.20992,0.76391,0.0014852,0.0014852,0.0014852
28,982.582,0.40203,2.03392,0.37803,0.29424,0.9535,0.9995,1,0.995,0.97251,0.9995,1,0.995,0.87689,0.26874,0.49025,0.32166,0.18649,0.73573,0.0014654,0.0014654,0.0014654
29,1015.62,0.38148,1.76487,0.38368,0.2812,0.95487,1,1,0.995,0.97817,1,1,0.995,0.84489,0.26757,0.66302,0.32094,0.20787,0.70435,0.0014456,0.0014456,0.0014456
30,1049.68,0.39323,1.87213,0.36992,0.2873,0.95462,0.9995,1,0.995,0.92093,0.9995,1,0.995,0.59689,0.43588,1.2969,0.31129,0.23052,0.82395,0.0014258,0.0014258,0.0014258
31,1085.81,0.40859,2.07719,0.35415,0.28991,0.95867,0.99942,1,0.995,0.94661,0.99942,1,0.995,0.82701,0.36426,0.63498,0.29817,0.22962,0.75191,0.001406,0.001406,0.001406
32,1120.85,0.40928,1.75488,0.35882,0.28908,0.96064,0.99945,1,0.995,0.91139,0.99945,1,0.995,0.7648,0.47529,1.04751,0.30015,0.21885,0.79602,0.0013862,0.0013862,0.0013862
33,1155.97,0.38159,1.76786,0.36112,0.28198,0.9415,0.99948,1,0.995,0.99426,0.99948,1,0.995,0.84957,0.24689,0.60681,0.29699,0.17133,0.69622,0.0013664,0.0013664,0.0013664
34,1191.4,0.36355,1.72521,0.34867,0.27064,0.93793,0.9995,1,0.995,0.95398,0.9995,1,0.995,0.65068,0.32689,1.14151,0.28977,0.22349,0.72954,0.0013466,0.0013466,0.0013466
35,1225.93,0.39035,1.79856,0.34096,0.27731,0.94822,0.99949,1,0.995,0.99417,0.99949,1,0.995,0.88701,0.24597,0.60445,0.24584,0.18753,0.69238,0.0013268,0.0013268,0.0013268
36,1260.13,0.37127,1.58887,0.35027,0.26895,0.94326,0.99951,1,0.995,0.98673,0.99951,1,0.995,0.90369,0.33118,0.46288,0.26694,0.2081,0.74155,0.001307,0.001307,0.001307
37,1294.23,0.38336,1.42387,0.33378,0.26354,0.93405,0.9995,1,0.995,0.99443,0.9995,1,0.995,0.94644,0.28622,0.34899,0.26721,0.17394,0.71389,0.0012872,0.0012872,0.0012872
38,1327.43,0.38125,1.48694,0.33234,0.27181,0.94182,0.9995,1,0.995,0.99291,0.9995,1,0.995,0.9708,0.31151,0.30092,0.24127,0.195,0.72569,0.0012674,0.0012674,0.0012674
39,1360.86,0.36373,1.43889,0.32685,0.26435,0.93319,0.9995,1,0.995,0.97849,0.9995,1,0.995,0.89071,0.32851,0.41323,0.22113,0.19358,0.73431,0.0012476,0.0012476,0.0012476
40,1393.6,0.36586,1.48641,0.31947,0.26931,0.93751,0.9995,1,0.995,0.91942,0.9995,1,0.995,0.90003,0.42427,0.48241,0.24468,0.21388,0.77061,0.0012278,0.0012278,0.0012278
41,1426.37,0.35691,1.58155,0.32055,0.26746,0.93216,0.9995,1,0.995,0.96711,0.9995,1,0.995,0.95368,0.27046,0.44751,0.23439,0.19048,0.69476,0.001208,0.001208,0.001208
42,1459.2,0.34837,1.66191,0.32103,0.26675,0.93063,0.99949,1,0.995,0.995,0.99949,1,0.995,0.81263,0.18721,0.86628,0.2477,0.16244,0.66609,0.0011882,0.0011882,0.0011882
