epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.768,0.55749,8.98007,0.5667,0.61538,1.08577,0.99986,1,0.995,0.94765,0,0,0,0,0.37284,7.1458,0.26725,0.26837,0.90261,0.000665336,0.000665336,0.000665336
2,254.152,0.31715,5.77102,0.45788,0.29681,0.9185,0.99987,1,0.995,0.995,0.99987,1,0.995,0.40329,0.17621,2.81807,0.30338,0.17378,0.71144,0.00131882,0.00131882,0.00131882
3,411.845,0.3123,4.39726,0.42612,0.28292,0.90882,0.99987,1,0.995,0.995,0.99987,1,0.995,0.68464,0.19223,1.86142,0.28432,0.1921,0.73307,0.0019591,0.0019591,0.0019591
4,584.665,0.29595,3.40537,0.41657,0.27411,0.89683,0.99987,1,0.995,0.995,0.99987,1,0.995,0.72801,0.18583,1.51181,0.31666,0.21236,0.71628,0.0019406,0.0019406,0.0019406
5,756.093,0.27733,3.24026,0.39543,0.25189,0.88731,0.99987,1,0.995,0.995,0.99987,1,0.995,0.75742,0.12707,1.75494,0.26575,0.14351,0.68832,0.0019208,0.0019208,0.0019208
6,926.123,0.24768,2.52183,0.38994,0.23942,0.8795,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88179,0.16987,0.91772,0.27893,0.23352,0.68621,0.001901,0.001901,0.001901
7,1142.71,0.2448,2.23839,0.3684,0.2302,0.87659,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88084,0.14541,0.98107,0.2468,0.18097,0.66963,0.0018812,0.0018812,0.0018812
8,1314.78,0.24688,1.97779,0.35788,0.23129,0.87853,0.99987,1,0.995,0.995,0.99987,1,0.995,0.8906,0.13774,1.0897,0.24367,0.17513,0.68579,0.0018614,0.0018614,0.0018614
9,1489.66,0.22818,1.73016,0.3312,0.21865,0.86818,0.99986,1,0.995,0.995,0.99986,1,0.995,0.87211,0.11905,0.76209,0.18682,0.12155,0.66616,0.0018416,0.0018416,0.0018416
10,1663.29,0.21419,1.77908,0.30923,0.20882,0.86922,0.99987,1,0.995,0.995,0.99987,1,0.995,0.87312,0.12139,0.82213,0.16752,0.10254,0.68789,0.0018218,0.0018218,0.0018218
11,1836.52,0.20705,1.62391,0.29281,0.20795,0.86326,1,1,0.995,0.995,1,1,0.995,0.8955,0.13098,0.64515,0.15409,0.09738,0.66326,0.001802,0.001802,0.001802
12,2014.56,0.20489,1.59086,0.27462,0.20092,0.86195,0.99987,1,0.995,0.995,0.99987,1,0.995,0.88702,0.09367,0.80144,0.11599,0.09641,0.65883,0.0017822,0.0017822,0.0017822
13,2189.56,0.19502,1.48095,0.26408,0.19639,0.86294,0.99988,1,0.995,0.995,0.99988,1,0.995,0.8966,0.10788,0.63948,0.1297,0.08404,0.66461,0.0017624,0.0017624,0.0017624
