epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7371,1.2937,11.0433,0.48392,1.68067,1.7966,0.99779,1,0.995,0.64237,0,0,0,0,1.41091,10.4721,0.22567,1.27312,2.40565,0.000654321,0.000654321,0.000654321
2,54.2827,0.67305,9.29497,0.26391,0.45572,1.21602,0.9994,1,0.995,0.72461,0,0,0,0,1.13305,11.6519,0.04045,0.94653,1.72195,0.00119021,0.00119021,0.00119021
3,83.1586,0.59964,8.13227,0.24694,0.41438,1.14272,0.99915,1,0.995,0.74225,0,0,0,0,0.86471,10.6473,0.05892,0.6438,1.34367,0.0015941,0.0015941,0.0015941
4,113.49,0.49605,7.0583,0.20151,0.36706,1.05989,0.99949,1,0.995,0.76327,0.24062,0.24074,0.13928,0.01474,1.00639,6.47592,0.08601,0.57274,1.36154,0.001406,0.001406,0.001406
5,145.261,0.42427,6.08749,0.22039,0.33071,0.99243,0.9995,1,0.995,0.79281,0.64782,0.64815,0.51159,0.08121,0.73818,5.32312,0.09932,0.41089,1.10027,0.001208,0.001208,0.001208
6,176.442,0.42076,5.99198,0.19543,0.33118,0.99017,1,1,0.995,0.86761,0.46296,0.46296,0.34033,0.06641,0.54865,5.44717,0.09663,0.38447,0.90453,0.00101,0.00101,0.00101
7,208.143,0.40098,5.23662,0.18035,0.30052,0.98116,0.99947,1,0.995,0.96972,0.67579,0.67593,0.74455,0.20028,0.37702,4.73234,0.08527,0.29592,0.80429,0.000812,0.000812,0.000812
8,241.134,0.35337,4.70983,0.19568,0.2713,0.95127,0.99952,1,0.995,0.90649,0.74038,0.74074,0.67396,0.19597,0.48832,4.43958,0.08291,0.29785,0.86034,0.000614,0.000614,0.000614
9,274.181,0.30036,4.46183,0.19597,0.24764,0.91914,0.99949,1,0.995,0.93769,0.99949,1,0.995,0.20875,0.38563,4.372,0.08611,0.25186,0.78271,0.000416,0.000416,0.000416
10,307.287,0.29223,4.43275,0.1853,0.23163,0.90651,1,1,0.995,0.91493,1,1,0.995,0.22663,0.50658,4.45936,0.08526,0.29171,0.83229,0.000218,0.000218,0.000218
